,,,,,,,,,,55/18,55/19,55/20,55/21,56/18,56/19,56/20,56/21,57/18,57/19,57/20,57/21,58/18,58/19,58/20,58/21,59/18,59/19,59/20,59/21,60/18,60/19,60/20,60/21
55,18,2799,11252, 청춘의자기이해,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11252, 청춘의자기이해,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11255, 호모엠파티쿠스:소통·공감·신뢰,1,1,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2799,11255, 호모엠파티쿠스:소통·공감·신뢰,1,2,3,2,null,2799,2813,2827,2839,2851,2865,2879,2891,2903,2917,2931,2943,2955,2969,2983,2995,3007,3021,3035,3047,3059,3073,3087,3099
55,18,2800,10021, 우리말과글쓰기,1,1,3,3,null,2800,2814,2828,2840,2852,2866,2880,2892,2904,2918,2932,2944,2956,2970,2984,2996,3008,3022,3036,3048,3060,3074,3088,3100
55,18,2800,10021, 우리말과글쓰기,1,2,3,3,null,2800,2814,2828,2840,2852,2866,2880,2892,2904,2918,2932,2944,2956,2970,2984,2996,3008,3022,3036,3048,3060,3074,3088,3100
55,18,2801,11094, 고전읽기와글쓰기,2,1,3,2,10021,2801,2815,2829,2841,2853,2867,2881,2893,2905,2919,2933,2945,2957,2971,2985,2997,3009,3023,3037,3049,3061,3075,3089,3101
55,18,2801,11094, 고전읽기와글쓰기,2,2,3,2,10021,2801,2815,2829,2841,2853,2867,2881,2893,2905,2919,2933,2945,2957,2971,2985,2997,3009,3023,3037,3049,3061,3075,3089,3101
55,18,2802,10098, 대학영어,1,1,3,3,null,2802,2816,2830,2842,2854,2868,2882,2894,2906,2920,2934,2946,2958,2972,2986,2998,3010,3024,3038,3050,3062,3076,3090,3102
55,18,2802,10098, 대학영어,1,2,3,3,null,2802,2816,2830,2842,2854,2868,2882,2894,2906,2920,2934,2946,2958,2972,2986,2998,3010,3024,3038,3050,3062,3076,3090,3102
55,18,2802,10099, 고급영어,1,1,3,3,null,2802,2816,2830,2842,2854,2868,2882,2894,2906,2920,2934,2946,2958,2972,2986,2998,3010,3024,3038,3050,3062,3076,3090,3102
55,18,2802,10099, 고급영어,1,2,3,3,null,2802,2816,2830,2842,2854,2868,2882,2894,2906,2920,2934,2946,2958,2972,2986,2998,3010,3024,3038,3050,3062,3076,3090,3102
55,18,2803,11036, 중국어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11037, 중국어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11073, 프랑스어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11074, 프랑스어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11033, 독일어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11034, 독일어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11091, 일본어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11092, 일본어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11066, 스페인어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11067, 스페인어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11064, 러시아어Ⅰ,1,1,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2803,11065, 러시아어Ⅱ,1,2,3,2,null,2803,2817,2831,2843,2855,2869,2883,2895,2907,2921,2935,2947,2959,2973,2987,2999,3011,3025,3039,3051,3063,3077,3091,3103
55,18,2804,11053, 21세기사회와문학의대화,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11053, 21세기사회와문학의대화,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11183, The Story of Human Language,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11183, The Story of Human Language,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11165, Topics in Multiethnic American Literature,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11165, Topics in Multiethnic American Literature,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11112, 다매체시대의비교문학,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11112, 다매체시대의비교문학,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11108, 동아시아문학으로문화읽기,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11108, 동아시아문학으로문화읽기,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11038, 디지털미디어시대의동아시아문자,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11038, 디지털미디어시대의동아시아문자,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10950, 디지털스토리텔링의이해,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10950, 디지털스토리텔링의이해,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10041, 문학과삶,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10041, 문학과삶,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10654, 문학과영화,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10654, 문학과영화,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11148, 문학으로보는사랑의역사,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11148, 문학으로보는사랑의역사,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11184, 문학으로함께배우는매체/이야기,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11184, 문학으로함께배우는매체/이야기,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11146, 문화로읽는현대시의세계,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11146, 문화로읽는현대시의세계,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11147, 사이언스픽션의이해,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11147, 사이언스픽션의이해,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11297, 생태와문학,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11297, 생태와문학,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10768, 신화·상상력·문화,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10768, 신화·상상력·문화,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11109, 여행문학과세계인식,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11109, 여행문학과세계인식,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10882, 인간과언어,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10882, 인간과언어,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11258, 자연과문학,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11258, 자연과문학,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10543, 한국현대시와삶읽기,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10543, 한국현대시와삶읽기,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11134, 현대영어권문학의동향,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11134, 현대영어권문학의동향,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10896, 환상문학의세계,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,10896, 환상문학의세계,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11334, Critical and Creative Textual Studies,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11334, Critical and Creative Textual Studies,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11335, Technical Writing and Document Design in English,null,1,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2804,11335, Technical Writing and Document Design in English,null,2,3,3,null,2804,2818,2832,2844,2856,2870,2884,2896,2908,2922,2936,2948,2960,2974,2988,3000,3012,3026,3040,3052,3064,3078,3092,3104
55,18,2805,11107, 21세기의예술과인간,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11107, 21세기의예술과인간,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11164, Contemporary Photography,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11164, Contemporary Photography,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10018, 국악의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10018, 국악의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10033, 동양미술의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10033, 동양미술의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10778, 디지털매체와예술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10778, 디지털매체와예술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10576, 무용의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10576, 무용의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11153, 문화콘텐츠기획의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11153, 문화콘텐츠기획의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11328, 미술로치유하는마음,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11328, 미술로치유하는마음,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11083, 미학과미술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11083, 미학과미술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11135, 사물과예술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11135, 사물과예술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11329, 색채의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11329, 색채의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10072, 서양미술의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10072, 서양미술의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10073, 서양음악의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10073, 서양음악의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11084, 시각문화로서미술작품읽기,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11084, 시각문화로서미술작품읽기,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10090, 여성과예술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10090, 여성과예술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11113, 여성의몸과창조적움직임,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11113, 여성의몸과창조적움직임,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10097, 연극의이론과실제,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10097, 연극의이론과실제,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11110, 예술가와그의시대,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11110, 예술가와그의시대,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10100, 예술과사상,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10100, 예술과사상,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11055, 옛시와그림의만남,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11055, 옛시와그림의만남,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11075, 창조와상상의기술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11075, 창조와상상의기술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11035," 퍼포먼스인문학:제의,놀이,연극",null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11035," 퍼포먼스인문학:제의,놀이,연극",null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10892," 표현,예술,그리고시대정신",null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10892," 표현,예술,그리고시대정신",null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10152, 한국미술의이해,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10152, 한국미술의이해,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11333," 한국사와상상력,스토리텔링",null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,11333," 한국사와상상력,스토리텔링",null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10883, 한국의문화공간과예술,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10883, 한국의문화공간과예술,null,2,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
55,18,2805,10165, 현대미술사,null,1,3,3,null,2805,2819,2833,2845,2857,2871,2885,2897,2909,2923,2937,2949,2961,2975,2989,3001,3013,3027,3041,3053,3065,3079,3093,3105
